id,time,elapsed,memory,priority,agentsreply,duplicatePackets,resentPackets,resultsize,continue,WhenFirstRow,TimeTotalExecute,NumRowsProcessed,NumIndexSeeks,NumIndexScans,NumIndexWildSeeks,NumIndexMerges,NumLeafCacheHits,NumNodeCacheHits,NumLeafCacheAdds,NumIndexAccepted,NumIndexRejected,NumIndexRowsRead,TimeSortElapsed,NumGroups,TimeLocalExecute,NumAllocations,SizeAgentReply,TimeAgentWait,TimeLeafLoad,TimeLeafRead,NumLeafDiskFetches,TimeLeafFetch,fDMetaphone1.NumStarts,fDMetaphone1.NumStops,fDMetaphone1.TimeLocalExecute,fREGEXREPLACE.NumStarts,fREGEXREPLACE.NumStops,fREGEXREPLACE.TimeLocalExecute,fgetGlobalId.NumStarts,fgetGlobalId.NumStops,fgetGlobalId.TimeLocalExecute,fgetLocalId.NumStarts,fgetLocalId.NumStops,fgetLocalId.TimeLocalExecute,fgetCallerId.NumStarts,fgetCallerId.NumStops,fgetCallerId.TimeLocalExecute,fdbglog.NumStarts,fdbglog.NumStops,fdbglog.TimeLocalExecute,NumNodeCacheAdds,TimeNodeLoad,TimeNodeRead,NumNodeDiskFetches,TimeNodeFetch, ,%BranchMiss,%LeafMiss,%BranchFetch,%LeafFetch,AvgTimeBranchFetch,AvgTimeLeafFetch
idlexternallinking.xidl_recswithindistance_service:{HpESCryXxorHBmP7FDJcmt},12:04:18.395,117,9,-2,151668,0,0,222079,0,20224-02-11T00:32:23.547Z,1652.0,10384,867,7885,234,11,113,728,217,7901,7612,15497,0.000951,194,75.554,90596,148.113Kb,36.98,41.612,8.031,33,7.405,316,316,0.22559800000000002,2,2,0.008768000000000001,1,1,0.0011220000000000002,1,1,0.000368,1,1,0.000185,1,1,0.015541000000000001,,,,,,,0.0,65.75757575757575,,15.2073732718894,,0.2243939393939394
idlexternallinking.xidl_recswithindistance_service:{HpESCr1KpopDkviD65u9F9},12:04:18.363,135,10,-2,327395,0,0,471838,0,18943-02-13T22:48:40.009Z,1257.0,23030,1832,1206,500,8,272,1495,263,1218,473,1679,0.001427,421,47.015,203105,319.721Kb,24.993,46.458,1.56,6,0.563394,428,428,0.216472,2,2,0.010218,1,1,0.001428,1,1,0.000424,1,1,0.000207,1,1,0.021551999999999998,,,,,,,0.0,49.1588785046729,,2.2813688212927756,,0.093899
idlexternallinking.xidl_recswithindistance_service:{HpESCqe3k3JSkxCrgtVisG},12:04:18.292,83,10,-2,132256,0,0,166167,0,20224-02-11T00:31:50.979Z,945.87,8264,650,659,175,8,73,547,120,675,391,1050,0.0012629999999999998,148,35.048,69856,129.156Kb,17.908,22.732,5.324,21,4.954,398,398,0.207445,2,2,0.007804,1,1,0.001,1,1,0.000344,1,1,0.000188,1,1,0.014153,,,,,,,0.0,62.17616580310881,,17.5,,0.2359047619047619
idlexternallinking.xidl_recswithindistance_service:{HpESCq3ymiygTSgdHjXarz},12:04:18.220,43,9,-2,55089,0,0,48736,0,19583-08-13T23:40:01.981Z,545.297,2827,231,264,64,10,33,225,49,278,146,410,0.000842,52,27.866,26311,53.797Kb,13.768,15.107,6.895,17,6.744,150,150,0.061737,2,2,0.008414,1,1,0.0010049999999999998,1,1,0.000303,1,1,0.000182,1,1,0.012038,,,,,,,0.0,59.75609756097561,,34.69387755102041,,0.3967058823529412
idlexternallinking.xidl_recswithindistance_service:{HpESCpdEYvfRYsAN7pZU32},12:04:18.172,20,9,-2,33407,0,0,37817,0,20117-05-12T16:22:55.573Z,464.717,1918,200,815,62,9,39,217,46,831,762,1577,0.000911,38,22.946,18436,32.624Kb,11.403,9.005,1.255,7,1.03,50,50,0.04388,2,2,0.008855,1,1,0.0010789999999999999,1,1,0.000297,1,1,0.000184,1,1,0.014573000000000001,,,,,,,0.0,54.11764705882353,,15.217391304347826,,0.14714285714285716
idlexternallinking.xidl_recswithindistance_service:{HpESCm3nyK1TeDyTiXDfaX},12:04:18.051,86,10,-2,127460,0,0,125479,0,20224-02-11T00:30:27.887Z,778.022,6915,527,587,146,9,72,466,95,603,297,884,0.001203,114,31.432,59893,124.472Kb,16.038,20.249,4.212,28,3.93,344,344,0.212893,2,2,0.009354,1,1,0.0012259999999999999,1,1,0.000267,1,1,0.000191,1,1,0.017167,,,,,,,0.0,56.88622754491018,,29.473684210526315,,0.14035714285714287
idlexternallinking.xidl_recswithindistance_service:{HpESCmfAjQrFpq8GPNiuMY},12:04:18.013,16,9,-2,15058,0,0,9563,0,20224-02-11T00:30:37.626Z,359.214,623,98,138,39,7,22,132,26,154,113,251,0.000761,10,18.93,7092,14.705Kb,9.585,6.721,2.21,16,2.146,24,24,0.024514,2,2,0.008233,1,1,0.000944,1,1,0.000291,1,1,0.000232,1,1,0.013777,,,,,,,0.0,54.166666666666664,,61.53846153846154,,0.134125
idlexternallinking.xidl_recswithindistance_service:{HpESCgvvAUragAhQv7gK73},12:04:17.838,91,10,-2,115816,0,0,163199,0,20597-09-24T16:59:20.998Z,1418.0,7850,651,4403,179,9,99,562,135,4419,4192,8595,0.000873,150,62.367,68777,113.101Kb,31.176,31.807,10.277,28,9.889,282,282,0.141126,2,2,0.010098000000000001,1,1,0.001167,1,1,0.000718,1,1,0.000186,1,1,0.012447,,,,,,,0.0,57.69230769230769,,20.74074074074074,,0.3531785714285714
idlexternallinking.xidl_recswithindistance_service:{HpESCfHCHD3JsZKHRFaVGr},12:04:17.700,42,10,-2,68309,0,0,82059,0,20117-05-12T16:20:07.811Z,714.302,4074,349,1980,96,10,48,325,84,1996,1850,3830,0.000829,76,31.714,35689,66.708Kb,16.185,16.493,3.226,23,2.979,140,140,0.104202,2,2,0.006923,1,1,0.000905,1,1,0.000328,1,1,0.000224,1,1,0.013474,,,,,,,0.0,63.63636363636363,,27.38095238095238,,0.1295217391304348
idlexternallinking.xidl_recswithindistance_service:{HpESCdaKgSsVQ8bGRvRuyw},12:04:17.609,40,9,-2,35051,0,0,49989,0,17662-02-16T21:02:07.019Z,288.759,2441,222,55,66,4,41,198,30,63,3,58,0.000469,47,14.9,22407,34.229Kb,7.852,6.206,0.852771,6,0.717712,180,180,0.053217,2,2,0.00858,1,1,0.0011330000000000001,1,1,0.000206,1,1,0.000229,1,1,0.014551,,,,,,,0.0,42.25352112676056,,20.0,,0.11961866666666666
